respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,sample1_code,sample1_format,sample2_code,sample2_format,years_experience,group_name,usage_purpose_other_text,content_source_other_text,quality_signs_other_text,open_q13_main_risk_ai,open_q14_quality_signs,notes,education,uses_video_audio_content,use_frequency_if_yes,usage_purpose_multi,content_source_multi,importance_precheck_1_5,quality_signs_multi,knows_ai_content,used_ai_in_work,ai_content_pedagogically_appropriate,youtube_trust_1_5,sample1_plot,sample1_value,sample1_language,sample1_psychological_safety,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_use,sample2_plot,sample2_value,sample2_language,sample2_psychological_safety,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_use
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,T2,text,V4,video,23,,,,,"Надмірне використання ШІ-контенту призводить до зниження самостійності та формування особистості, не пристосованої до реальності","«попередня робота / фахова оцінка»
«мова, сюжет»
«динамічність»
«зміст»
«емоції»
«мораль»",,Вища (інша),Іноді,Рідше,Обговорення емоцій,"Освітні платформи; Інше",5,"Чіткий сюжет; Позитивні цінності",Так,Ні,Важко відповісти,3,4,5,4,5,3,4,ШІ,Скоріше так,1,2,2,2,2,2,ШІ,Скоріше ні
E-04-05,B-04-05-T7V3,B,educator,04,05,paper,,T7,text,V3,video,17,,,,,"Створює бар’єри до дорослішання.
Надмірна віртуалізація.
Психологічні розлади (самотність, невпевненість).
Трансформація до вірт.
Зловживання / фейк контент, швидко змінюється.","«сюжет»
«зміст»
«доречність»
«виразність»
«сенс»
«рефлексія»",,Вища (інша),Іноді,Рідше,"Відпочинок / пауза; Обговорення емоцій; Інше","YouTube; Інше",5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку; Інше",Так,Ні,Важко відповісти,3,5,5,5,5,5,5,Традиційний,Так,2,2,2,1,2,2,ШІ,Скоріше ні
E-01-03,B-01-03-T9V2,B,educator,01,03,paper,,T9,text,V2,video,8,спеціальна,,,,"«Спотворення сприйняття реальності.»
«Підміна справжньої соціальної взаємодії.»","«Відповідність віку.»
«Безпечний, доброзичливий зміст.»
«Розвивальна цінність.»
«Чітка ідея або мораль.»",,Вища (інша),Іноді,Кілька разів на тиждень,"Тематичне заняття; Ранкове коло; Відпочинок / пауза","YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Відповідність віку",Так,"Так, свідомо",Скоріше так,4,4,4,4,5,5,4,Важко сказати,Скоріше так,4,4,5,5,5,4,ШІ,Скоріше так
E-01-02,B-01-02-T1V4,B,educator,01,02,paper,,T1,text,V4,video,20,спеціальна,,,,"«Спотворення сприйняття реальності.»
«Підміна справжньої соціальної взаємодії.»","«Відповідність віку.»
«Безпечність та доброзичливий зміст.»
«Розвивальна цінність.»
«Чітка ідея або мораль.»",,Вища (інша),Іноді,Кілька разів на тиждень,"Тематичне заняття; Ранкове коло; Відпочинок / пауза","YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності",Так,"Так, свідомо",Скоріше так,4,3,4,4,4,5,4,Важко сказати,Скоріше так,4,3,5,5,5,4,ШІ,Так
E-01-04,B-01-04-T7V4,B,educator,01,04,paper,,T7,text,V4,video,22,логопедична,,,,"Найбільший ризик — це заміна живого спілкування, людського живого спілкування (готовими відповідями).»","«пояснення, доступність»
«відповідність віку»
«відсутність перевантажень»
«зрозумілий зміст»
«має мету»",,Середня спеціальна,Іноді,,"Тематичне заняття; Відпочинок / пауза; Розвиток мовлення; Обговорення емоцій",Освітні платформи,5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Важко відповісти,3,5,5,4,5,5,5,Важко сказати,Так,4,4,4,4,4,4,Важко сказати,Так
E-01-01,B-01-01-T6V4,B,educator,01,01,paper,,T6,text,V4,video,20,старша,,,,«Перегляд матеріалів не виконує роль оригінального психологічного контакту та дружби.»,«Відповідність віку. Безпека.»,,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття; Розвиток мовлення","YouTube; YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Так,4,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Так
E-01-03,B-01-03-T9V2,B,educator,01,03,paper,,T9,text,V2,video,35,середня,,,,"«Якщо включають матеріали, що містять насилля та інші негативні прояви.»","«Безпека, відповідність віку, позитивні цінності.»",,Вища (інша),Іноді,Кілька разів на тиждень,"Тематичне заняття; Ранкове коло; Обговорення емоцій","YouTube; Файли / флешка",5,"Позитивні цінності; Без насилля / переляку",Так,"Так, свідомо",Скоріше так,3,4,4,4,4,3,3,Важко сказати,Скоріше так,3,4,4,,3,3,ШІ,Скоріше так
E-01-02,B-01-02-T1V4,B,educator,01,02,paper,,T1,text,V4,video,32,середня логопедична,,,,"«Прояви насилля, невідповідність віковим вимогам, агресивність, доступ до особистісного розвитку.»","«Прояви насилля, невідповідність віковим вимогам, агресивність...»",,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття; Ранкове коло","YouTube; Файли / флешка; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Природне мовлення; Без насилля / переляку",Так,"Так, свідомо",Важко відповісти,3,5,5,4,4,4,4,Традиційний,Так,4,,3,4,5,3,ШІ,Скоріше так
E-04-07,B-04-07-T1V5,B,educator,04,07,paper,,T1,text,V5,video,18,логопедична,,,,«ШІ створює ризики для інтелектуального розвитку дітей.»,«Базується на комплексному оцінюванні безпеки та розвивального потенціалу.»,,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття; Розвиток мовлення","YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Так,5,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Так
E-04-08,B-04-08-T1V5,B,educator,04,08,paper,,T1,text,V5,video,15,старша,,,,"«Насилля, страх — для інтелектуального розвитку дітей.»","«чіткий сюжет
психологічна безпека
вікова доречність»",,Вища (інша),Іноді,Кілька разів на тиждень,"Тематичне заняття; Відпочинок / пауза; Розвиток мовлення","YouTube; Файли / флешка; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Без насилля / переляку; Відповідність віку",Так,Можливо,Скоріше так,3,5,5,5,5,5,5,Традиційний,Скоріше так,4,5,,4,3,4,Традиційний,
E-02-01,В-02-01-T5V2,В,educator,02,01,paper,,T5,text,V2,video,0.11,,,,,«Заміна живого спілкування та реального досвіду дитини штучними контактами.»,"«Віковідповідність, простота і стислість, позитивний зміст, розвиваючий контент, стимулює активність, реалістичність, безпечні моделі поведінки, жива мова.»",,,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття; Ранкове коло; Обговорення емоцій",YouTube,4,"Чіткий сюжет; Позитивні цінності; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,Можливо,Скоріше так,4,4,4,4,4,5,3,ШІ,Скоріше так,4,4,5,4,5,4,Важко сказати,Скоріше ні
E-01-08,B-01-08-T5V5,B,educator,01,08,paper,,T5,text,V5,video,15,старша,,,,"«Відсутність порушення емоційного інтелекту дитини, недостача емоційного досвіду, уявлення про правдивість вражень емоційного розвитку.»","«Темп і продовженість, естетичність, змістовність, якість мови, емоції та поведінка, вікова відповідність, чи заохочує взаємодію з реальним світом, суть матеріалу, тема.»",,Вища (дошкільна освіта),"Так, регулярно",Щодня,"Тематичне заняття; Ранкове коло; Відпочинок / пауза; Розвиток мовлення; Обговорення емоцій","YouTube; Файли / флешка; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Так,3,4,4,4,4,5,3,Важко сказати,Скоріше так,4,4,5,4,5,4,Важко сказати,Скоріше ні
E-01-06,B-01-06-T5V6,B,educator,01,06,paper,,T5,text,V6,video,1,молодша,,,,"«Порушення природного розвитку мислення, уяви та соціальних навичок через надмірно готовий і спрощений контент.»","«Сюжет, герої, мова мовлення, має педагогічну мету, відповідь віку дитини, активізує мислення.»",,Вища (дошкільна освіта),"Так, регулярно",Рідше,"Тематичне заняття; Обговорення емоцій",YouTube,5,"Позитивні цінності; Відповідність віку",Так,Можливо,Скоріше так,4,4,3,5,4,4,4,Традиційний,Скоріше так,4,5,4,3,4,4,Традиційний,Скоріше так
E-02-02,B-02-02-T3V2,B,educator,02,02,paper,,T3,text,V2,video,12,середня,,,,"«Це створення реальності та формування хибних уявлень, що може впливати на емоційний стан, поведінку та розвиток мислення.»","«зрозумілий та логічний сюжет»
«відповідність віку»
«чітка мова»
«помірний темп»
«змістовно психологічний зміст»",,Вища (дошкільна освіта),"Так, регулярно",Щодня,"Відпочинок / пауза; Обговорення емоцій","YouTube; Освітні платформи",3,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Скоріше так,4,2,4,5,4,4,5,Традиційний,Скоріше так,2,3,2,3,4,3,Важко сказати,Скоріше ні
E-01-07,B-01-07-T6V3,B,educator,01,07,paper,,T6,text,V3,video,,,,,,"«дитина більше взаємодіє з цифровим середовищем, ніж з живими людьми»
«звикає до готового ... результатів»","«відповідність віку»
«чітка мова»
«візуальна привабливість»
«природна мова»
«несе користь»",,Середня спеціальна,Іноді,Рідше,Тематичне заняття,YouTube,5,"Чіткий сюжет; Природне мовлення; Відповідність віку",Так,Можливо,Скоріше так,3,4,3,5,5,4,4,Традиційний,Скоріше так,2,2,3,2,,2,Важко сказати,Скоріше ні
E-01-05,B-01-05-T1V1,B,educator,01,05,paper,,T1,text,V1,video,12,раннього віку,,,,«Спотворення емоційного інтелекту та дефіцит живого соціального досвіду.»,"«естетичне та моральне цінність»
«інтерактивність та спонукання до дії»
«логічність та послідовність»
«позитивне підкріплення»",,Середня спеціальна,"Так, регулярно",Щодня,"Тематичне заняття; Ранкове коло; Відпочинок / пауза; Розвиток мовлення","YouTube Kids; Файли / флешка; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Так,5,4,5,5,5,4,4,Важко сказати,Так,4,5,4,4,4,4,ШІ,Скоріше так
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,T2,text,V4,video,14,старша,,,,«Підміна живого емоційного досвіду штучною взаємодією.»,"«Відповідають віку дитини, спокійний темп, надати розвиток, позитивний, заохочує до активності.»",,Вища (дошкільна освіта),"Так, регулярно",Щодня,Тематичне заняття,Освітні платформи,4,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Відповідність віку",Так,"Так, свідомо",Так,3,4,3,4,4,5,3,Важко сказати,Так,4,5,4,4,5,,ШІ,Так
E-04-03,B-04-03-T2V5,B,educator,04,03,paper,,T2,text,V5,video,10,середня,,,,"«Вплив на розвиток мислення, адже дитина ще не вміє критично оцінювати інформацію, добро і розрізняти, де негатив, а де позитив.»",«Матеріал має дозволити дитині розвиватися без перевантаження та шкоди.»,,Вища (інша),"Так, регулярно",Щодня,"Тематичне заняття; Ранкове коло; Відпочинок / пауза; Розвиток мовлення; Обговорення емоцій","YouTube; Файли / флешка",5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Так,3,2,3,3,5,3,3,Важко сказати,Ні,3,,4,5,4,4,ШІ,Скоріше ні
E-04-01,B-04-01-T9V6,B,educator,04,01,paper,,T9,text,V6,video,11,молодша,,,,"«Надмірне утримання уваги.»
«Оманливий контент.»
«Збір персональних даних.»","«Чіткий сюжет.»
«Якісний текст.»
«Чіткість мовлення.»",,Вища (дошкільна освіта),"Так, регулярно",Щодня,"Тематичне заняття; Відпочинок / пауза; Розвиток мовлення",YouTube,5,"Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Скоріше ні,3,5,5,5,5,4,4,Важко сказати,Так,3,3,4,3,3,3,Важко сказати,Скоріше ні
E-04-05,B-04-05-T7V3,B,educator,04,05,paper,,T7,text,V3,video,30,старша,,,,"«Найбільший ризик — виснаження реальної картини світу та заміна живого емоційного спілкування штучними алгоритмами. Це призводить до пасивності мислення, зниження уяви, тому що труднощі у адаптації дитини.»","— реалістичність та природність;
— відповідність віковій психології;
— дотримання вимог програми;
— висока технічна якість.»",,Середня спеціальна,Рідко,Рідше,"Тематичне заняття; Відпочинок / пауза; Розвиток мовлення","YouTube; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Відповідність віку",Так,"Так, свідомо",Так,4,5,5,5,5,5,5,ШІ,Скоріше так,1,1,1,3,2,1,Важко сказати,Скоріше ні
E-04-05,B-04-05-T7V3,B,educator,04,05,paper,,T7,text,V3,video,20,середня,,,,"«інтерактивність, насильність»
«нав'язувати свої стереотипи»
«відсутність реальності»
«імітація емоцій»","«Автор або організація»
«наявність пояснень»
«помірність»
«позитивний вплив»
«яскраве сприймання»",,Середня спеціальна,"Так, регулярно",Щодня,"Тематичне заняття; Ранкове коло; Розвиток мовлення","YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Без насилля / переляку; Відповідність віку",Так,"Так, свідомо",Важко відповісти,3,5,5,5,5,5,5,Традиційний,Так,1,1,4,2,1,1,ШІ,Скоріше ні
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,T2,text,V4,video,23,старша,,,,«Спотворене сприйняття світу.»,"«цікавий матеріал»
«допомагає орієнтуватися в життєвих ситуаціях»
«заохочує до навчання і розвитку»",,Вища (дошкільна освіта),Іноді,Кілька разів на тиждень,Обговорення емоцій,"YouTube; YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Без насилля / переляку",Так,"Так, свідомо",Скоріше ні,1,4,4,4,4,3,4,Важко сказати,Скоріше ні,4,4,4,3,3,4,ШІ,
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,T2,text,V4,video,19,молодша,,,,«Зменшення логічного мислення та невміння аналізувати інформацію самостійно.»,"«Доступність»
«Доцільність»
«Зрозумілість»
«Актуальність»",,Вища (інша),"Так, регулярно",Щодня,Відпочинок / пауза,"YouTube Kids; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності",Так,"Так, свідомо",Скоріше так,4,4,4,4,4,4,4,Традиційний,Так,3,3,4,3,4,3,ШІ,Скоріше ні
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,T2,text,V4,video,35,середня,,,,"«Порушення причинно-наслідкових зв’язків; емоційна пасивність уяви; ШІ-контент не дає матеріалу для розвитку критичного мислення, любові.»","«Причино-ряд-наслідок»
«пауза для думки, запитання»
«мова»",,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття; Відпочинок / пауза",Освітні платформи,5,"Позитивні цінності; Спокійний темп; Без насилля / переляку",Так,"Так, свідомо",Так,5,5,5,5,5,4,5,ШІ,Так,4,3,3,5,5,4,ШІ,Скоріше так
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,T2,text,V4,video,31,середня,,,,"«Будь-який зміст, що містить перекручені моральні норми середовища.»","«темп та ритм мовлення (щоб був спокійний темп)»
«логічна думка (...)»
«... зрозумілі фрази»
«естетика та звук (кольори природи, ... голоси)»",,Середня спеціальна,Іноді,Кілька разів на тиждень,"Тематичне заняття; Ранкове коло; Відпочинок / пауза","YouTube; Освітні платформи",5,"Чіткий сюжет; Позитивні цінності; Відповідність віку",Так,"Так, свідомо",Важко відповісти,3,2,3,3,4,3,3,Важко сказати,Скоріше так,5,4,3,4,4,3,ШІ,Так
